Provisional Final Fantasy IV ROM Map

Last Updated: 2024-05-15 16:06:36 UTC

The following is a provisional ROM map of Final Fantasy IV. It is currently
automatically generated from the source files of an incomplete disassembly of
the game. As such, things may be mislabeled or otherwise incorrect. Use this
information at your own risk. Here is a brief description of each field:

Label           A descriptive-ish name given to the region of code or data. May
                or may not be specific enough to accurately describe the region.
                Labels prefixed by underscores are subroutines expected to be
                used within the same bank (JSR/RTS). Other subroutines should be
                accessed with JSL/RTL. Most data blocks are suffixed with _data,
                but there are some scragglers that slipped through. Labels that
                start with CODE_ or DATA_ are ones that I have not bothered to
                accurately label yet beyond their use as code or data.

Mapped Address  The address of the region as accessed on the SNES system bus.
                Unless you have a particularly good reason (editing a file
                directly in a hex editor), you should always be use this
                address, as any written pointers will need to be written in
                this form anyway.

Binary Address  The address of the region in the actual ROM dump. As far as the
                game itself is concerned, this address does not exist. It is
                primarily useful for direct hex editing, but its use should
                otherwise be limited.

Type            A vague description of what this region contains.

Size            The size of the region in bytes. Do note that since a single
                logical region can occasionally have multiple labels, this value
                is not necessarily accurate.

+-----------------------------------------------------------------------+---------------------+-------------------+---------+--------+
|                                 Label                                 |   Mapped Address    |  Binary Address   |  Type   |  Size  |
| _change_map_underworld                                                | $00:853C - $00:8573 | $00053C - $000573 | Code    |     56 |
| _change_map_moon                                                      | $00:8574 - $00:85AA | $000574 - $0005AA | Code    |     55 |
| _load_map_outdoor                                                     | $00:85AB - $00:85DA | $0005AB - $0005DA | Code    |     48 |
| _remove_float_status                                                  | $00:85DB - $00:85EE | $0005DB - $0005EE | Code    |     20 |
| _disable_interrupts                                                   | $00:85EF - $00:85F9 | $0005EF - $0005F9 | Code    |     11 |
| _show_title_screen                                                    | $00:85FA - $00:868F | $0005FA - $00068F | Code    |    150 |
| _copy_title_screen_tiles                                              | $00:8690 - $00:86A7 | $000690 - $0006A7 | Code    |     24 |
| _clear_vram_bg1_bg2                                                   | $00:86A8 - $00:86C1 | $0006A8 - $0006C1 | Code    |     26 |
| _increment_indexes_by_four                                            | $00:86C2 - $00:86CA | $0006C2 - $0006CA | Code    |      9 |
| _outdoor_animate_transition_and_start_battle                          | $00:86CB - $00:86F7 | $0006CB - $0006F7 | Code    |     45 |
| _animate_transition_and_start_battle                                  | $00:86F8 - $00:8723 | $0006F8 - $000723 | Code    |     44 |
| battle_transition_mosaic_data                                         | $00:8724 - $00:8738 | $000724 - $000738 | Data    |     21 |
| _start_battle                                                         | $00:8739 - $00:87CE | $000739 - $0007CE | Code    |    150 |
| init_nmi_irq_handlers                                                 | $00:87CF - $00:87E9 | $0007CF - $0007E9 | Code    |     27 |
| _fade_out_and_disable_interrupts                                      | $00:87EA - $00:87F2 | $0007EA - $0007F2 | Code    |      9 |
| _cleanup_menu_and_reinit_map                                          | $00:87F3 - $00:883F | $0007F3 - $00083F | Code    |     77 |
| _load_waterway_lake_tiles                                             | $00:8840 - $00:8875 | $000840 - $000875 | Code    |     54 |
| _copy_lake_tiles_to_vram                                              | $00:8876 - $00:88A5 | $000876 - $0008A5 | Code    |     48 |
| _dungeon_rotate_lake_tiles                                            | $00:88A6 - $00:88FE | $0008A6 - $0008FE | Code    |     89 |
| _rotate_lake_tile_line                                                | $00:88FF - $00:890B | $0008FF - $00090B | Code    |     13 |
| _init_dma_bank_0_to_vram                                              | $00:890C - $00:8917 | $00090C - $000917 | Code    |     12 |
| _enable_dma_0                                                         | $00:8918 - $00:891D | $000918 - $00091D | Code    |      6 |
| _check_encounter                                                      | $00:891E - $00:8A90 | $00091E - $000A90 | Code    |    371 |
| outdoor_tile_battle_background_data                                   | $00:8A91 - $00:8A96 | $000A91 - $000A96 | Data    |      6 |
| _prepare_battle_formation_and_background                              | $00:8A97 - $00:8AB5 | $000A97 - $000AB5 | Code    |     31 |
| _calculate_battle_background                                          | $00:8AB6 - $00:8AD1 | $000AB6 - $000AD1 | Code    |     28 |
| _get_formation_offset                                                 | $00:8AD2 - $00:8B2A | $000AD2 - $000B2A | Code    |     89 |
| _audio_fade_out                                                       | $00:8B2B - $00:8B34 | $000B2B - $000B34 | Code    |     10 |
| _audio_fade_out_slow                                                  | $00:8B35 - $00:8B3E | $000B35 - $000B3E | Code    |     10 |
| _play_map_song                                                        | $00:8B3F - $00:8B70 | $000B3F - $000B70 | Code    |     50 |
| map_area_song_data                                                    | $00:8B71 - $00:8B73 | $000B71 - $000B73 | Data    |      3 |
| vehicle_song_data                                                     | $00:8B74 - $00:8B7A | $000B74 - $000B7A | Data    |      7 |
| _play_sound_effect                                                    | $00:8B7B - $00:8B91 | $000B7B - $000B91 | Code    |     23 |
| _ppu_fade_in                                                          | $00:8B92 - $00:8BB2 | $000B92 - $000BB2 | Code    |     33 |
| _ppu_fade_out                                                         | $00:8BB3 - $00:8BDD | $000BB3 - $000BDD | Code    |     43 |
| _wait_for_joypad_clear                                                | $00:8BDE - $00:8BE6 | $000BDE - $000BE6 | Code    |      9 |
| _wait_for_joypad_press                                                | $00:8BE7 - $00:8BEF | $000BE7 - $000BEF | Code    |      9 |
| _copy_ocean_tile_line                                                 | $00:8BF0 - $00:8C28 | $000BF0 - $000C28 | Code    |     57 |
| _animate_outdoor_water_tiles                                          | $00:8C29 - $00:8C38 | $000C29 - $000C38 | Code    |     16 |
| _copy_water_tiles                                                     | $00:8C39 - $00:8C48 | $000C39 - $000C48 | Code    |     16 |
| _copy_overworld_water_tiles                                           | $00:8C49 - $00:8CA5 | $000C49 - $000CA5 | Code    |     93 |
| _copy_magma_tiles_from_vram                                           | $00:8CA6 - $00:8CC4 | $000CA6 - $000CC4 | Code    |     31 |
| _animate_underworld_water_tiles                                       | $00:8CC5 - $00:8D15 | $000CC5 - $000D15 | Code    |     81 |
| _copy_underworld_water_tiles                                          | $00:8D16 - $00:8D4A | $000D16 - $000D4A | Code    |     53 |
| _copy_water_tiles_from_vram                                           | $00:8D4B - $00:8D82 | $000D4B - $000D82 | Code    |     56 |
| _animate_overworld_water_tiles                                        | $00:8D83 - $00:8E7B | $000D83 - $000E7B | Code    |    249 |
| waterfall_cycle_data                                                  | $00:8E7C - $00:8E8B | $000E7C - $000E8B | Data    |     16 |
| ocean_cycle_data                                                      | $00:8E8C - $00:8E9B | $000E8C - $000E9B | Data    |     16 |
| _field_effect_zoom_set_mode_7_parameters                              | $00:8E9C - $00:8EB1 | $000E9C - $000EB1 | Code    |     22 |
| _field_effect_swirl_get_sine_value                                    | $00:8EB2 - $00:8EE5 | $000EB2 - $000EE5 | Code    |     52 |
| _set_mode_7_transform                                                 | $00:8EE6 - $00:8F0E | $000EE6 - $000F0E | Code    |     41 |
| _wait_for_nmi_complete_field                                          | $00:8F0F - $00:8F1D | $000F0F - $000F1D | Code    |     15 |
| _wait_for_nmi_complete                                                | $00:8F1E - $00:8F2C | $000F1E - $000F2C | Code    |     15 |
| _do_tile_animations                                                   | $00:8F2D - $00:8F58 | $000F2D - $000F58 | Code    |     44 |
| _init_oam                                                             | $00:8F59 - $00:8F76 | $000F59 - $000F76 | Code    |     30 |
| _init_oam_lower                                                       | $00:8F77 - $00:8F94 | $000F77 - $000F94 | Code    |     30 |
| _load_tile_palettes                                                   | $00:8F95 - $00:8FAB | $000F95 - $000FAB | Code    |     23 |
| _transition_irq_handler                                               | $00:8FAC - $00:8FE5 | $000FAC - $000FE5 | Code    |     58 |
| _calculate_transition_effects                                         | $00:8FE6 - $00:9020 | $000FE6 - $001020 | Code    |     59 |
| _do_out_transition                                                    | $00:9021 - $00:904A | $001021 - $00104A | Code    |     42 |
| _do_in_transition                                                     | $00:904B - $00:907D | $00104B - $00107D | Code    |     51 |
| UNUSED_CODE_00907E                                                    | $00:907E - $00:9084 | $00107E - $001084 | Unused  |      7 |
| nmi_handler                                                           | $00:9085 - $00:925F | $001085 - $00125F | Code    |    475 |
| irq_handler                                                           | $00:9260 - $00:92A1 | $001260 - $0012A1 | Code    |     66 |
| _draw_outdoor_field_sprites                                           | $00:92A2 - $00:92CF | $0012A2 - $0012CF | Code    |     46 |
| init_cecil                                                            | $00:92D0 - $00:9314 | $0012D0 - $001314 | Code    |     69 |
| _animate_flight_to_underworld                                         | $00:9315 - $00:9408 | $001315 - $001408 | Code    |    244 |
| _animate_flight_from_underworld                                       | $00:9409 - $00:942C | $001409 - $00142C | Code    |     36 |
| _animate_rising_airship                                               | $00:942D - $00:9471 | $00142D - $001471 | Code    |     69 |
| _animate_agart_exit_swirl                                             | $00:9472 - $00:951C | $001472 - $00151C | Code    |    171 |
| _copy_outdoor_field_sprites_to_vram                                   | $00:951D - $00:9573 | $00151D - $001573 | Code    |     87 |
| _copy_player_and_outdoor_field_sprites_to_vram                        | $00:9574 - $00:9583 | $001574 - $001583 | Code    |     16 |
| _copy_player_and_whirlpool_field_sprites_to_vram                      | $00:9584 - $00:9594 | $001584 - $001594 | Code    |     17 |
| _do_walking_poison                                                    | $00:9595 - $00:95E0 | $001595 - $0015E0 | Code    |     76 |
| _do_walking_damage                                                    | $00:95E1 - $00:962D | $0015E1 - $00162D | Code    |     77 |
| _field_handle_a_button_press                                          | $00:962E - $00:9658 | $00162E - $001658 | Code    |     43 |
| _check_facing_treasure                                                | $00:9659 - $00:96B4 | $001659 - $0016B4 | Code    |     92 |
| _check_treasure_trigger                                               | $00:96B5 - $00:96E2 | $0016B5 - $0016E2 | Code    |     46 |
| _handle_treasure_trigger                                              | $00:96E3 - $00:97C3 | $0016E3 - $0017C3 | Code    |    225 |
| _display_empty_if_facing_open_treasure                                | $00:97C4 - $00:97DC | $0017C4 - $0017DC | Code    |     25 |
| _add_party_gp                                                         | $00:97DD - $00:9817 | $0017DD - $001817 | Code    |     59 |
| _inventory_add_item                                                   | $00:9818 - $00:98CA | $001818 - $0018CA | Code    |    179 |
| _load_open_treasure_chest_tiles                                       | $00:98CB - $00:98EE | $0018CB - $0018EE | Code    |     36 |
| _check_treasure_open                                                  | $00:98EF - $00:9900 | $0018EF - $001900 | Code    |     18 |
| _set_treasure_open                                                    | $00:9901 - $00:9923 | $001901 - $001923 | Code    |     35 |
| _get_treasure_indexes                                                 | $00:9924 - $00:993C | $001924 - $00193C | Code    |     25 |
| _get_current_trigger_offset                                           | $00:993D - $00:995F | $00193D - $00195F | Code    |     35 |
| _replace_open_treasure_tiles                                          | $00:9960 - $00:99B0 | $001960 - $0019B0 | Code    |     81 |
| _handle_dungeon_triggers                                              | $00:99B1 - $00:9ACC | $0019B1 - $001ACC | Code    |    284 |
| _push_map_history                                                     | $00:9ACD - $00:9B15 | $001ACD - $001B15 | Code    |     73 |
| _handle_outdoor_triggers                                              | $00:9B16 - $00:9C1C | $001B16 - $001C1C | Code    |    263 |
| _check_vehicle_change                                                 | $00:9C1D - $00:9D4D | $001C1D - $001D4D | Code    |    305 |
| _update_current_tile_properties                                       | $00:9D4E - $00:9DA1 | $001D4E - $001DA1 | Code    |     84 |
| _get_tile_properties                                                  | $00:9DA2 - $00:9DF5 | $001DA2 - $001DF5 | Code    |     84 |
| _wait_for_frame_divisible_by_four                                     | $00:9DF6 - $00:9E0A | $001DF6 - $001E0A | Code    |     21 |
| _wait_for_frame_divisible_by_eight                                    | $00:9E0B - $00:9E1F | $001E0B - $001E1F | Code    |     21 |
| _ride_yellow_chocobo                                                  | $00:9E20 - $00:9E2A | $001E20 - $001E2A | Code    |     11 |
| _ride_black_chocobo                                                   | $00:9E2B - $00:9E4A | $001E2B - $001E4A | Code    |     32 |
| _raise_black_chocobo                                                  | $00:9E4B - $00:9E5C | $001E4B - $001E5C | Code    |     18 |
| _dismount_yellow_chocobo                                              | $00:9E5D - $00:9F01 | $001E5D - $001F01 | Code    |    165 |
| _land_black_chocobo                                                   | $00:9F02 - $00:9F3F | $001F02 - $001F3F | Code    |     62 |
| _board_ship                                                           | $00:9F40 - $00:9F49 | $001F40 - $001F49 | Code    |     10 |
| _board_hovercraft                                                     | $00:9F4A - $00:9F79 | $001F4A - $001F79 | Code    |     48 |
| _animate_random_smoke_explosion                                       | $00:9F7A - $00:9FBF | $001F7A - $001FBF | Code    |     70 |
| _land_hovercraft                                                      | $00:9FC0 - $00:9FF4 | $001FC0 - $001FF4 | Code    |     53 |
| _board_enterprise                                                     | $00:9FF5 - $00:A036 | $001FF5 - $002036 | Code    |     66 |
| _raise_enterprise                                                     | $00:A037 - $00:A064 | $002037 - $002064 | Code    |     46 |
| _board_falcon                                                         | $00:A065 - $00:A09E | $002065 - $00209E | Code    |     58 |
| _raise_falcon                                                         | $00:A09F - $00:A0CC | $00209F - $0020CC | Code    |     46 |
| _board_big_whale                                                      | $00:A0CD - $00:A0E0 | $0020CD - $0020E0 | Code    |     20 |
| _activate_big_whale                                                   | $00:A0E1 - $00:A105 | $0020E1 - $002105 | Code    |     37 |
| _raise_big_whale                                                      | $00:A106 - $00:A146 | $002106 - $002146 | Code    |     65 |
| _big_whale_earth_to_moon                                              | $00:A147 - $00:A194 | $002147 - $002194 | Code    |     78 |
| _big_whale_moon_to_earth                                              | $00:A195 - $00:A1E8 | $002195 - $0021E8 | Code    |     84 |
| _big_whale_depart_earth_moon                                          | $00:A1E9 - $00:A218 | $0021E9 - $002218 | Code    |     48 |
| _lower_big_whale_high                                                 | $00:A219 - $00:A231 | $002219 - $002231 | Code    |     25 |
| _raise_big_whale_high                                                 | $00:A232 - $00:A246 | $002232 - $002246 | Code    |     21 |
| _animate_origin_planet_receding                                       | $00:A247 - $00:A2D0 | $002247 - $0022D0 | Code    |    138 |
| _animate_destination_planet_approaching                               | $00:A2D1 - $00:A2FB | $0022D1 - $0022FB | Code    |     43 |
| _set_big_whale_high_altitude                                          | $00:A2FC - $00:A308 | $0022FC - $002308 | Code    |     13 |
| _set_ppu_brightness                                                   | $00:A309 - $00:A312 | $002309 - $002312 | Code    |     10 |
| _draw_moon_sprite                                                     | $00:A313 - $00:A323 | $002313 - $002323 | Code    |     17 |
| _draw_earth_sprite                                                    | $00:A324 - $00:A334 | $002324 - $002334 | Code    |     17 |
| _load_earth_moon_transition_sprites                                   | $00:A335 - $00:A35F | $002335 - $00235F | Code    |     43 |
| _draw_random_stars                                                    | $00:A360 - $00:A38D | $002360 - $00238D | Code    |     46 |
| _load_earth_moon_transition_background                                | $00:A38E - $00:A3EC | $00238E - $0023EC | Code    |     95 |
| _land_enterprise                                                      | $00:A3ED - $00:A4C3 | $0023ED - $0024C3 | Code    |    215 |
| hook_height_data                                                      | $00:A4C4 - $00:A4D3 | $0024C4 - $0024D3 | Data    |     16 |
| _unhook_hovercraft                                                    | $00:A4D4 - $00:A50E | $0024D4 - $00250E | Code    |     59 |
| _hook_hovercraft                                                      | $00:A50F - $00:A53B | $00250F - $00253B | Code    |     45 |
| _land_falcon                                                          | $00:A53C - $00:A5C3 | $00253C - $0025C3 | Code    |    136 |
| _land_big_whale                                                       | $00:A5C4 - $00:A652 | $0025C4 - $002652 | Code    |    143 |
| _do_outdoor_movement                                                  | $00:A653 - $00:A722 | $002653 - $002722 | Code    |    208 |
| _calculate_dungeon_movement_direction                                 | $00:A723 - $00:A821 | $002723 - $002821 | Code    |    255 |
| _open_door                                                            | $00:A822 - $00:A839 | $002822 - $002839 | Code    |     24 |
| _check_direction_blocked                                              | $00:A83A - $00:A875 | $00283A - $002875 | Code    |     60 |
| _get_adjacent_npc                                                     | $00:A876 - $00:A8B9 | $002876 - $0028B9 | Code    |     68 |
| _set_player_sprite_position                                           | $00:A8BA - $00:A8EA | $0028BA - $0028EA | Code    |     49 |
| x_coordinate_delta_data                                               | $00:A8EB - $00:A8EF | $0028EB - $0028EF | Data    |      5 |
| y_coordinate_delta_data                                               | $00:A8F0 - $00:A8F4 | $0028F0 - $0028F4 | Data    |      5 |
| _clear_player_sprite_position                                         | $00:A8F5 - $00:A910 | $0028F5 - $002910 | Code    |     28 |
| _calculate_dungeon_vram_address                                       | $00:A911 - $00:A941 | $002911 - $002941 | Code    |     49 |
| _load_open_door_tiles                                                 | $00:A942 - $00:A965 | $002942 - $002965 | Code    |     36 |
| _calculate_outdoor_movement_direction                                 | $00:A966 - $00:AA5E | $002966 - $002A5E | Code    |    249 |
| _check_direction_vehicle_blocking                                     | $00:AA5F - $00:AAE5 | $002A5F - $002AE5 | Code    |    135 |
| vehicle_tile_property_mask_data                                       | $00:AAE6 - $00:AAEC | $002AE6 - $002AEC | Data    |      7 |
| map_area_coordinate_mask_data                                         | $00:AAED - $00:AAEF | $002AED - $002AEF | Data    |      3 |
| movement_speed_frame_counter_mask_data                                | $00:AAF0 - $00:AAF3 | $002AF0 - $002AF3 | Data    |      4 |
| movement_speed_pixels_per_frame_data                                  | $00:AAF4 - $00:AAF7 | $002AF4 - $002AF7 | Data    |      4 |
| _inn_draw_party_gp_window                                             | $00:AAF8 - $00:AB9D | $002AF8 - $002B9D | Code    |    166 |
| _inn_erase_party_gp_window                                            | $00:AB9E - $00:ABC6 | $002B9E - $002BC6 | Code    |     41 |
| _dialog_yes_no_execute                                                | $00:ABC7 - $00:AC4F | $002BC7 - $002C4F | Code    |    137 |
| _dialog_yes_no_close                                                  | $00:AC50 - $00:AC8C | $002C50 - $002C8C | Code    |     61 |
| _dialog_yes_no_draw_current_line                                      | $00:AC8D - $00:AD05 | $002C8D - $002D05 | Code    |    121 |
| _dialog_yes_no_draw_blank_line                                        | $00:AD06 - $00:AD2C | $002D06 - $002D2C | Code    |     39 |
| _lower_dialog_select_item                                             | $00:AD2D - $00:AE3C | $002D2D - $002E3C | Code    |    272 |
| _close_lower_dialog                                                   | $00:AE3D - $00:AE54 | $002E3D - $002E54 | Code    |     24 |
| _play_cursor_sound_effect                                             | $00:AE55 - $00:AE5E | $002E55 - $002E5E | Code    |     10 |
| _play_cursor_sound_effect_and_delay                                   | $00:AE5F - $00:AE6D | $002E5F - $002E6D | Code    |     15 |
| _scroll_dialog_up_one_row                                             | $00:AE6E - $00:AE7D | $002E6E - $002E7D | Code    |     16 |
| _scroll_dialog_down_one_row                                           | $00:AE7E - $00:AE8D | $002E7E - $002E8D | Code    |     16 |
| _set_lower_dialog_timer                                               | $00:AE8E - $00:AEB0 | $002E8E - $002EB0 | Code    |     35 |
| _lower_dialog_irq_handler                                             | $00:AEB1 - $00:AEFB | $002EB1 - $002EFB | Code    |     75 |
| _draw_dialog_cursor                                                   | $00:AEFC - $00:AF55 | $002EFC - $002F55 | Code    |     90 |
| _draw_lower_dialog_text_if_pending                                    | $00:AF56 - $00:AFF9 | $002F56 - $002FF9 | Code    |    164 |
| _update_lower_dialog_text_inventory                                   | $00:AFFA - $00:B098 | $002FFA - $003098 | Code    |    159 |
| _init_lower_dialog_inventory                                          | $00:B099 - $00:B0D0 | $003099 - $0030D0 | Code    |     56 |
| _show_upper_dialog                                                    | $00:B0D1 - $00:B163 | $0030D1 - $003163 | Code    |    147 |
| _close_upper_dialog                                                   | $00:B164 - $00:B17E | $003164 - $00317E | Code    |     27 |
| _load_message_bank_0_offset                                           | $00:B17F - $00:B1C7 | $00317F - $0031C7 | Code    |     73 |
| _load_message_bank_1_lo_offset                                        | $00:B1C8 - $00:B1E0 | $0031C8 - $0031E0 | Code    |     25 |
| _load_message_bank_1_hi_offset                                        | $00:B1E1 - $00:B1F9 | $0031E1 - $0031F9 | Code    |     25 |
| _load_message_bank_2_offset                                           | $00:B1FA - $00:B212 | $0031FA - $003212 | Code    |     25 |
| _get_message_offset_index                                             | $00:B213 - $00:B21E | $003213 - $00321E | Code    |     12 |
| _load_dialog                                                          | $00:B21F - $00:B287 | $00321F - $003287 | Code    |    105 |
| _load_dialog_opcode_next                                              | $00:B288 - $00:B298 | $003288 - $003298 | Code    |     17 |
| _load_dialog_opcode_done                                              | $00:B299 - $00:B2B6 | $003299 - $0032B6 | Code    |     30 |
| _load_dialog_character_next                                           | $00:B2B7 - $00:B2BD | $0032B7 - $0032BD | Code    |      7 |
| _load_dialog_character                                                | $00:B2BE - $00:B2DB | $0032BE - $0032DB | Code    |     30 |
| _load_dialog_opcode_dte                                               | $00:B2DC - $00:B2F5 | $0032DC - $0032F5 | Code    |     26 |
| _load_dialog_opcode_play_song                                         | $00:B2F6 - $00:B307 | $0032F6 - $003307 | Code    |     18 |
| _load_dialog_opcode_character_name                                    | $00:B308 - $00:B337 | $003308 - $003337 | Code    |     48 |
| _load_dialog_opcode_current_item_name                                 | $00:B338 - $00:B36F | $003338 - $00336F | Code    |     56 |
| _load_dialog_opcode_current_number                                    | $00:B370 - $00:B3A5 | $003370 - $0033A5 | Code    |     54 |
| _load_dialog_opcode_set_delay                                         | $00:B3A6 - $00:B3C3 | $0033A6 - $0033C3 | Code    |     30 |
| _load_dialog_opcode_insert_blanks                                     | $00:B3C4 - $00:B3DE | $0033C4 - $0033DE | Code    |     27 |
| _load_dialog_opcode_new_line                                          | $00:B3DF - $00:B3FD | $0033DF - $0033FD | Code    |     31 |
| _load_dialog_opcode_end_line                                          | $00:B3FE - $00:B41E | $0033FE - $00341E | Code    |     33 |
| _load_dialog_opcode_end_message                                       | $00:B41F - $00:B430 | $00341F - $003430 | Code    |     18 |
| _load_dialog_opcode_end_message_auto                                  | $00:B431 - $00:B442 | $003431 - $003442 | Code    |     18 |
| _set_upper_dialog_timer                                               | $00:B443 - $00:B465 | $003443 - $003465 | Code    |     35 |
| _upper_dialog_irq_handler                                             | $00:B466 - $00:B4B0 | $003466 - $0034B0 | Code    |     75 |
| _draw_dialog_if_pending                                               | $00:B4B1 - $00:B51A | $0034B1 - $00351A | Code    |    106 |
| _erase_dialog_if_pending                                              | $00:B51B - $00:B55E | $00351B - $00355E | Code    |     68 |
| _draw_upper_dialog_text_if_pending                                    | $00:B55F - $00:B5E9 | $00355F - $0035E9 | Code    |    139 |
| _erase_map_title_if_pending                                           | $00:B5EA - $00:B617 | $0035EA - $003617 | Code    |     46 |
| _load_map_title                                                       | $00:B618 - $00:B67C | $003618 - $00367C | Code    |    101 |
| _draw_map_title_if_pending                                            | $00:B67D - $00:B751 | $00367D - $003751 | Code    |    213 |
| _check_facing_npc                                                     | $00:B752 - $00:B854 | $003752 - $003854 | Code    |    259 |
| _get_npc_movement_direction_and_properties_offset                     | $00:B855 - $00:B878 | $003855 - $003878 | Code    |     36 |
| npc_talk_direct_x_offset_data                                         | $00:B879 - $00:B87D | $003879 - $00387D | Data    |      5 |
| npc_talk_direct_y_offset_data                                         | $00:B87E - $00:B882 | $00387E - $003882 | Data    |      5 |
| npc_talk_left_diagonal_x_offset_data                                  | $00:B883 - $00:B887 | $003883 - $003887 | Data    |      5 |
| npc_talk_left_diagonal_y_offset_data                                  | $00:B888 - $00:B88C | $003888 - $00388C | Data    |      5 |
| npc_talk_right_diagonal_x_offset_data                                 | $00:B88D - $00:B891 | $00388D - $003891 | Data    |      5 |
| npc_talk_right_diagonal_y_offset_data                                 | $00:B892 - $00:B896 | $003892 - $003896 | Data    |      5 |
| npc_talk_double_direct_x_offset_data                                  | $00:B897 - $00:B89B | $003897 - $00389B | Data    |      5 |
| npc_talk_double_direct_y_offset_data                                  | $00:B89C - $00:B8A0 | $00389C - $0038A0 | Data    |      5 |
| npc_talk_left_diagonal_direction_data                                 | $00:B8A1 - $00:B8A5 | $0038A1 - $0038A5 | Data    |      5 |
| npc_talk_right_diagonal_direction_data                                | $00:B8A6 - $00:B8AA | $0038A6 - $0038AA | Data    |      5 |
| npc_talk_double_direct_direction_data                                 | $00:B8AB - $00:B8AF | $0038AB - $0038AF | Data    |      5 |
| _draw_field_sprite_npcs                                               | $00:B8B0 - $00:BAF7 | $0038B0 - $003AF7 | Code    |    584 |
| _get_npc_pixel_coordinates                                            | $00:BAF8 - $00:BB3D | $003AF8 - $003B3D | Code    |     70 |
| npc_stationary_animated_speed_data                                    | $00:BB3E - $00:BB41 | $003B3E - $003B41 | Data    |      4 |
| npc_stationary_animated_mask_data                                     | $00:BB42 - $00:BB45 | $003B42 - $003B45 | Data    |      4 |
| npc_spinning_direction_data                                           | $00:BB46 - $00:BB4D | $003B46 - $003B4D | Data    |      8 |
| npc_jumping_spin_direction_data                                       | $00:BB4E - $00:BB55 | $003B4E - $003B55 | Data    |      8 |
| _update_npc_movement                                                  | $00:BB56 - $00:BD20 | $003B56 - $003D20 | Code    |    459 |
| movement_direction_x_delta_data                                       | $00:BD21 - $00:BD25 | $003D21 - $003D25 | Data    |      5 |
| movement_direction_y_delta_data                                       | $00:BD26 - $00:BD2A | $003D26 - $003D2A | Data    |      5 |
| _get_tile_layer_1_2                                                   | $00:BD2B - $00:BD53 | $003D2B - $003D53 | Code    |     41 |
| _do_npc_movement                                                      | $00:BD54 - $00:BE5E | $003D54 - $003E5E | Code    |    267 |
| npc_pixels_per_movement_data                                          | $00:BE5F - $00:BE62 | $003E5F - $003E62 | Data    |      4 |
| npc_frames_per_frame_data                                             | $00:BE63 - $00:BE66 | $003E63 - $003E66 | Data    |      4 |
| _load_npc_sprites                                                     | $00:BE67 - $00:BE88 | $003E67 - $003E88 | Code    |     34 |
